Frame,Prediction,Confidence,FPS
194,crocodile,0.7991,2.67
195,crocodile,0.8079,2.45
196,crocodile,0.8126,2.13
197,crocodile,0.8256,3.28
198,crocodile,0.8193,2.98
199,crocodile,0.8089,3.25
200,crocodile,0.8477,3.25
201,crocodile,0.8533,3.2
202,crocodile,0.8224,2.71
203,crocodile,0.8404,2.69
204,crocodile,0.8304,2.47
205,crocodile,0.8237,2.57
206,crocodile,0.8225,2.62
207,crocodile,0.7955,2.74
208,crocodile,0.7729,2.64
209,crocodile,0.752,2.63
210,crocodile,0.7846,2.35
211,crocodile,0.7862,2.64
212,crocodile,0.7634,2.7
213,crocodile,0.7612,2.71
214,crocodile,0.808,2.52
215,crocodile,0.8112,2.71
216,crocodile,0.7764,2.56
217,crocodile,0.7816,2.22
218,crocodile,0.8154,2.41
219,crocodile,0.8825,2.67
220,crocodile,0.879,2.7
221,crocodile,0.8629,2.68
222,crocodile,0.856,2.68
223,crocodile,0.8519,2.69
224,crocodile,0.839,2.45
225,crocodile,0.835,2.16
226,crocodile,0.7869,2.28
227,crocodile,0.7774,2.72
228,crocodile,0.7756,2.3
229,crocodile,0.7559,2.25
230,crocodile,0.7433,2.18
231,crocodile,0.7012,2.63
232,crocodile,0.7303,2.63
233,crocodile,0.6973,2.71
234,crocodile,0.6931,2.69
235,crocodile,0.6909,2.62
236,crocodile,0.6951,2.53
237,crocodile,0.6623,2.72
238,crocodile,0.6639,2.53
239,crocodile,0.5989,1.81
240,crocodile,0.584,2.13
241,crocodile,0.5746,2.61
242,crocodile,0.6028,2.65
243,crocodile,0.5513,2.74
244,crocodile,0.555,2.68
245,crocodile,0.5262,2.74
246,crocodile,0.542,2.69
247,crocodile,0.6137,2.69
248,crocodile,0.6319,2.57
249,crocodile,0.745,2.3
250,crocodile,0.6997,1.78
251,crocodile,0.7582,3.32
252,crocodile,0.7627,3.3
253,crocodile,0.8454,3.39
254,crocodile,0.8171,3.38
255,crocodile,0.8619,3.29
256,crocodile,0.8352,2.99
257,crocodile,0.8507,3.08
258,crocodile,0.8471,2.48
259,crocodile,0.8485,2.43
260,crocodile,0.8613,2.37
261,crocodile,0.785,2.33
262,crocodile,0.7818,2.77
263,crocodile,0.7686,2.5
264,crocodile,0.7833,2.58
265,crocodile,0.8023,2.57
266,crocodile,0.798,2.65
267,crocodile,0.7831,2.65
268,crocodile,0.7918,2.64
269,crocodile,0.7897,2.6
270,crocodile,0.8206,2.32
271,crocodile,0.8363,2.48
272,crocodile,0.8588,2.36
273,crocodile,0.8581,2.22
274,crocodile,0.8586,2.34
275,crocodile,0.8799,2.67
276,crocodile,0.9044,2.25
277,crocodile,0.9036,2.68
278,crocodile,0.9188,2.7
279,crocodile,0.8999,2.75
280,crocodile,0.9006,2.67
281,crocodile,0.9183,2.69
282,crocodile,0.91,2.69
283,crocodile,0.8889,2.57
284,crocodile,0.8716,2.1
285,crocodile,0.8503,2.23
286,crocodile,0.8699,2.26
287,crocodile,0.885,2.14
288,crocodile,0.8961,2.23
289,crocodile,0.8988,2.23
290,crocodile,0.9105,2.25
291,crocodile,0.9168,2.63
292,crocodile,0.9087,2.68
293,crocodile,0.9057,2.63
294,crocodile,0.9052,2.71
295,crocodile,0.9098,2.63
296,crocodile,0.9244,2.66
297,crocodile,0.9237,2.72
298,crocodile,0.9089,2.6
299,crocodile,0.918,2.68
300,crocodile,0.7352,2.11
301,crocodile,0.7197,2.64
302,crocodile,0.7029,2.68
303,crocodile,0.6758,2.65
304,crocodile,0.6657,2.68
305,crocodile,0.6801,2.64
306,crocodile,0.6411,2.7
307,crocodile,0.6365,2.39
308,crocodile,0.679,2.14
309,crocodile,0.7095,2.61
310,crocodile,0.7321,2.73
311,crocodile,0.7101,2.69
312,crocodile,0.7039,2.69
313,crocodile,0.7025,2.73
314,crocodile,0.7191,2.74
315,crocodile,0.7378,2.65
316,crocodile,0.7079,2.71
317,crocodile,0.6461,2.59
318,crocodile,0.661,2.68
319,crocodile,0.6512,2.62
320,crocodile,0.6418,2.66
321,crocodile,0.6302,2.14
322,crocodile,0.6225,2.7
323,crocodile,0.6416,2.68
324,crocodile,0.6475,2.58
325,crocodile,0.6615,2.47
326,crocodile,0.7027,2.56
327,crocodile,0.6786,2.22
328,crocodile,0.6834,3.32
329,crocodile,0.6955,3.17
330,crocodile,0.7097,3.31
331,crocodile,0.7027,3.27
332,crocodile,0.6969,3.28
333,crocodile,0.6843,3.12
334,crocodile,0.7278,3.12
335,crocodile,0.7699,3.01
336,crocodile,0.7761,2.98
337,crocodile,0.8374,2.92
338,crocodile,0.806,2.87
339,crocodile,0.7775,2.88
340,crocodile,0.7735,2.63
341,crocodile,0.7848,2.25
342,crocodile,0.8026,2.66
343,crocodile,0.8061,2.61
344,crocodile,0.8427,2.67
345,crocodile,0.8435,2.63
346,crocodile,0.851,2.4
347,crocodile,0.8199,2.7
348,crocodile,0.795,2.47
349,crocodile,0.8052,2.16
350,crocodile,0.8273,2.63
351,crocodile,0.7901,2.63
352,crocodile,0.8088,2.71
353,crocodile,0.8146,2.59
354,crocodile,0.8076,2.69
355,crocodile,0.842,2.71
356,crocodile,0.8272,2.5
357,crocodile,0.8353,2.69
358,crocodile,0.8798,2.66
359,crocodile,0.8389,2.24
360,crocodile,0.741,2.04
361,crocodile,0.7889,3.37
362,crocodile,0.8076,3.31
363,crocodile,0.8233,3.3
364,crocodile,0.8525,3.32
365,crocodile,0.8779,3.27
366,crocodile,0.8949,3.03
367,crocodile,0.9395,2.68
368,crocodile,0.938,2.94
369,crocodile,0.9416,2.46
370,crocodile,0.9503,2.7
371,crocodile,0.9474,2.86
372,crocodile,0.9516,2.78
373,crocodile,0.9571,2.83
374,crocodile,0.9663,2.51
375,crocodile,0.9659,2.58
376,crocodile,0.9682,2.61
377,crocodile,0.9673,2.38
378,crocodile,0.9698,2.24
379,crocodile,0.9687,2.12
380,crocodile,0.9761,2.19
381,crocodile,0.9776,1.84
382,crocodile,0.9809,3.28
383,crocodile,0.9739,3.34
384,crocodile,0.9738,3.05
385,crocodile,0.9668,2.61
386,crocodile,0.5851,2.63
387,crocodile,0.578,2.2
388,crocodile,0.6322,2.19
389,crocodile,0.6184,2.64
390,crocodile,0.6476,2.65
391,crocodile,0.5942,2.68
392,crocodile,0.6289,2.56
393,crocodile,0.6337,2.73
394,crocodile,0.6409,2.69
395,crocodile,0.6106,2.67
396,crocodile,0.6381,2.63
397,crocodile,0.6435,2.7
398,crocodile,0.7108,2.55
399,crocodile,0.6774,2.06
400,crocodile,0.7064,2.65
401,crocodile,0.7475,2.74
402,crocodile,0.7946,2.72
403,crocodile,0.8208,2.7
404,crocodile,0.8149,2.67
405,crocodile,0.7802,2.56
406,crocodile,0.7822,2.64
407,crocodile,0.7865,2.62
408,crocodile,0.7761,2.55
409,crocodile,0.7814,2.31
410,crocodile,0.7872,1.87
